x,y
15.682716,1.552231
15.732008,1.562102
15.781294,1.572003
15.830574,1.581935
15.879847,1.591898
15.929114,1.601892
15.978375,1.611917
16.027629,1.621973
16.076877,1.632060
16.126119,1.642178
16.175354,1.652327
16.224583,1.662506
16.273806,1.672717
16.323022,1.682959
16.372232,1.693231
16.421435,1.703535
16.470632,1.713869
16.519822,1.724234
16.569006,1.734631
16.618183,1.745058
16.667354,1.755516
16.716518,1.766005
16.765676,1.776524
16.814826,1.787075
16.863971,1.797657
16.913108,1.808269
16.962239,1.818912
17.011363,1.829587
17.060481,1.840292
17.109592,1.851028
17.158696,1.861794
17.207793,1.872592
17.256883,1.883421
17.305967,1.894280
17.355043,1.905170
17.404113,1.916091
17.453176,1.927043
17.502233,1.938026
17.551282,1.949039
17.600324,1.960083
17.649359,1.971158
17.698388,1.982264
17.747409,1.993401
17.796424,2.004569
17.845431,2.015767
17.894431,2.026996
17.943425,2.038256
17.992411,2.049547
18.041390,2.060868
18.090362,2.072221
18.139326,2.083604
18.188284,2.095017
18.237235,2.106462
18.286178,2.117937
18.335114,2.129443
18.384043,2.140980
18.432964,2.152548
18.481878,2.164146
18.530785,2.175775
18.579685,2.187435
18.628577,2.199125
18.677462,2.210846
18.726340,2.222598
18.775210,2.234381
18.824073,2.246194
18.872928,2.258038
18.921776,2.269913
18.970616,2.281819
19.019449,2.293755
19.068275,2.305722
19.117092,2.317719
19.165903,2.329747
19.214705,2.341806
19.263501,2.353896
19.312288,2.366016
19.361068,2.378166
19.409840,2.390348
19.458605,2.402560
19.507362,2.414803
19.556111,2.427076
19.604853,2.439380
19.653587,2.451715
19.702313,2.464080
19.751031,2.476476
19.799741,2.488902
19.848444,2.501360
19.897139,2.513847
19.945826,2.526365
19.994505,2.538914
20.043176,2.551494
20.091839,2.564104
20.140494,2.576745
20.189142,2.589416
20.237781,2.602117
20.286412,2.614850
20.335036,2.627613
20.383651,2.640406
20.432258,2.653230
20.480858,2.666085
20.529449,2.678970
20.578032,2.691885
20.626607,2.704831
20.675174,2.717808
20.723732,2.730815
20.772283,2.743853
20.820825,2.756921
20.869359,2.770020
20.917885,2.783149
20.966402,2.796308
21.014911,2.809499
21.063412,2.822719
21.111905,2.835970
21.160389,2.849252
21.208865,2.862564
21.257332,2.875906
21.305792,2.889279
21.354242,2.902683
21.402685,2.916117
21.451118,2.929581
21.499544,2.943076
21.547961,2.956601
21.596369,2.970156
21.644769,2.983742
21.693160,2.997359
21.741543,3.011005
21.789917,3.024682
21.838283,3.038390
21.886640,3.052128
21.934988,3.065896
21.983328,3.079695
22.031659,3.093524
22.079981,3.107384
22.128294,3.121273
22.176599,3.135194
22.224895,3.149144
22.273182,3.163125
22.321461,3.177136
22.369730,3.191178
22.417991,3.205250
22.466243,3.219352
22.514486,3.233484
22.562721,3.247647
22.610946,3.261840
22.659162,3.276064
22.707370,3.290318
22.755568,3.304602
22.803758,3.318916
22.851938,3.333261
22.900109,3.347635
22.948272,3.362041
22.996425,3.376476
23.044569,3.390942
23.092705,3.405438
23.140831,3.419964
23.188947,3.434520
23.237055,3.449107
23.285154,3.463724
23.333243,3.478371
23.381323,3.493048
23.429394,3.507755
23.477456,3.522493
23.525508,3.537261
23.573551,3.552059
23.621585,3.566887
23.669610,3.581746
23.717625,3.596634
23.765631,3.611553
23.813627,3.626502
23.861614,3.641481
23.909592,3.656491
23.957560,3.671530
24.005518,3.686600
24.053467,3.701699
24.101407,3.716829
24.149337,3.731989
24.197258,3.747179
24.245169,3.762399
24.293070,3.777649
24.340962,3.792930
24.388845,3.808240
24.436717,3.823581
24.484580,3.838951
24.532434,3.854352
24.580277,3.869783
24.628111,3.885244
24.675936,3.900735
24.723750,3.916255
24.771555,3.931806
24.819350,3.947387
24.867135,3.962998
24.914910,3.978640
24.962676,3.994311
25.010431,4.010012
25.058177,4.025743
25.105913,4.041504
25.153639,4.057295
25.201355,4.073116
25.249061,4.088967
25.296757,4.104848
25.344443,4.120759
25.392119,4.136700
25.439785,4.152671
25.487441,4.168672
25.535087,4.184703
25.582723,4.200763
25.630349,4.216854
25.677965,4.232975
25.725570,4.249125
25.773165,4.265306
25.820751,4.281516
25.868326,4.297756
25.915890,4.314026
25.963445,4.330326
26.010989,4.346656
26.058523,4.363016
26.106047,4.379405
26.153560,4.395825
26.201063,4.412274
26.248556,4.428753
26.296039,4.445263
26.343511,4.461801
26.390972,4.478370
26.438423,4.494969
26.485864,4.511597
26.533294,4.528255
26.580714,4.544943
26.628123,4.561661
26.675522,4.578408
26.722910,4.595185
26.770288,4.611993
26.817655,4.628829
26.865012,4.645696
26.912358,4.662592
26.959693,4.679518
27.007018,4.696474
27.054332,4.713460
27.101635,4.730475
27.148928,4.747520
27.196210,4.764595
27.243481,4.781699
27.290741,4.798833
27.337991,4.815997
27.385230,4.833191
27.432458,4.850414
27.479675,4.867667
27.526881,4.884949
27.574077,4.902262
27.621261,4.919604
27.668435,4.936975
27.715597,4.954376
27.762749,4.971807
